n	Warshall1	Warshall2	Warshall3
16	245396		74646		519718
32	1589476		504788		1958969
48	1578279		1462112		2582724
64	2579924		1545156		4005180
80	2018219		2908362		2000490
96	2291607		1281098		2644772
112	1916048		1942175		4201591
128	2995138		3109905		6713400
144	3748587		4859401		10795092
160	5097333		6570642		14194713
176	11340002	9161763		19475394
192	8586529		12103250	25239868
208	11817264	16630946	35265648
224	12739133	20121075	45218183
240	14696703	28172957	57670399
256	17738027	31393429	69379428
272	20681847	37919751	81668357
288	23539823	45485507	96587595
304	28469205	53492135	114534163
320	29803954	64116010	138621229
336	36127800	76596218	161456588
352	40668559	88940197	188463214
368	47441676	102693105	216328259
384	48903323	117280172	248705139
400	55308812	134114526	276392902
416	61251968	150520603	315332492
432	69137765	177052299	351079602
448	86817475	255785235	420617185
464	95880333	217955524	448972556
480	90345859	237949702	492949297
496	97961534	264929736	551315761
512	114415197	288495685	599158189
528	116527656	320530130	669056867
544	136331022	346459999	730193601
560	149848330	379572134	803554416
576	154161422	418108640	873530073
592	167896601	467899307	952074529
608	187704166	508346730	1031260001
624	214303042	534558851	1107202140
640	219008488	592503571	1210751331
656	232358778	636289033	1306792152
672	239934797	744685963	1534187492
688	291068144	754443022	1532767368
704	312235651	1436280543	3622573915
720	692215535	1237370736	2143676574
736	429133267	1181642044	1912976785
752	368609557	1178683763	2085791570
768	397239715	1086824472	2155043168
784	419907589	1194658298	2298181830
800	710017476	1276561321	2456465999
816	474752201	1331452119	2610680605
832	502590188	1520387931	2869310288
848	544749784	1476737296	2911591183
864	513474388	1601256652	3121534014
880	600535392	1654195013	3261224536
896	558045957	1847099615	3455929953
912	644696414	1860176051	3826233022
928	709391390	1951070552	3941800087
944	685971932	2053705806	4259905182
960	781527557	2187163922	4325445515
976	753960160	2278118606	4506199282
992	797515155	2502414771	4815318497
1008	840475322	2502019618	5012648625
1024	849290917	2641134905	5254415495
1040	909473127	2731489629	6339169031
1056	958656835	2937641418	5823948412
1072	998889653	3048226850	6157244734
1088	1008133992	3194609312	6291056481
1104	1080985820	3481038258	7088602894
1120	1276592112	3924506199	7488385210
1136	1182931073	3695209273	7179917274
1152	1248751327	3859321830	8642626876
1168	1344543950	3980602984	7829442298
1184	1284043567	4232944276	8278944368
1200	1357060548	4347206917	8791114331
1216	1613854425	6702295899	9466591617
1232	1460127345	4703834990	9377483468
1248	1564776153	4938615071	15206106069
1264	1568407174	5280225933	10107176014
1280	1625837775	5554651934	10344227175
1296	1645473190	5415514721	10759642057
1312	1904335205	5668830600	11664996170
1328	1840134753	6529833812	11652573813
1344	1841809138	6291592061	14251165164
1360	2374278857	6505562932	12916120746
1376	2306307424	8287096088	15292714071
1392	2017107275	6558859123	17114059700
1408	2972238058	7195561038	15710079992
1424	2926328941	8235631969	14713580384
1440	2241974943	7306932111	15353340419
1456	2805089775	9602424382	17702862269
