n	Warshall1	Warshall2	Warshall3
16	215538		167018		1062761
32	1369738		1645926		2939620
48	2290207		3182684		6674212
64	3774246		3890880		4485242
80	1308157		4345282		6296321
96	1215317		1863797		4433457
112	1528359		3394489		7966040
128	2268747		4826744		10899595
144	3603029		6391960		15730538
160	4255708		9298924		24241955
176	15521531	13782300	35057575
192	6836565		17001372	38048980
208	8253890		20590406	47665612
224	9146833		25390091	60506915
240	11685236	31461077	75080454
256	13554632	39254967	93480957
272	16478856	45598873	108898918
288	18138779	55295282	129378756
304	20541421	64141202	152672251
320	24279744	76753905	177649460
336	27273015	87963745	206297814
352	32535501	101538437	235258743
368	33847390	116144632	267613229
384	38022388	131423567	307740612
400	42215114	150243950	343250256
416	52391118	167788366	387550304
432	55472565	188654959	437367097
448	60213000	208047310	483481022
464	67745632	236865014	548293564
480	71145253	257523067	598337092
496	80685840	287995095	661039975
512	85747250	329699358	984177088
528	127586805	441564954	965741595
544	123442598	377202149	882258894
560	111239977	417789066	958455292
576	126389683	456891010	1036546279
592	140295613	494406277	1133837872
608	155320755	529999897	1221313625
624	163888622	577528815	1318242722
640	180690785	627628793	1421582907
656	192913467	674545621	1533869317
672	211341029	732549123	1652168862
688	242796040	791676969	1769540008
704	237323149	928241723	1910768687
720	305474664	1065779198	2031521259
736	281528957	953173680	2172189166
752	307373451	1019830891	2424188024
768	402693478	1175290673	2706851121
784	446192023	1336731866	2671948902
800	404368795	1436588454	2864778392
816	472796964	1424667619	2995256765
832	455587518	1492277956	3213512736
848	498151133	1629209872	3488934786
864	512710208	1666321588	3617046906
880	579324499	1899307853	3996710946
896	658522567	1898099534	4868940328
912	577010498	2075094916	4193044562
928	589405330	2003861489	4399943269
944	605677512	2088836627	4608567680
960	632435476	2423758814	5021304667
976	650232753	2315380546	5099631252
992	697356721	3104485988	5942406580
1008	753890646	2760076866	5651442938
1024	768685321	2636910455	5944287171
1040	811130902	2806325153	6768236984
1056	964462830	3182067055	6485419930
1072	898429839	3021567325	6727005319
1088	1055992282	3271706584	7100844238
1104	912139359	3397169735	7451372865
1120	1014957027	3558751354	7781705306
1136	1015765529	3694254280	8020416856
1152	1073576819	3829123190	8371924269
1168	1101199735	4040083528	8717530513
1184	1134129922	4165422114	9186089964
1200	1180209324	4349442540	9467167319
1216	1219684960	4514628122	9883520864
1232	1296731380	4689049645	10198482463
1248	1348195500	4858620631	10690836931
1264	1367923287	5132045921	11081558256
1280	1442023556	5253395189	11535503580
1296	1452815850	5604722521	11943271531
1312	1530470629	5659511615	12463426195
1328	1564193921	5873416239	12946935209
1344	1641043465	6010711583	13263255817
1360	1680287701	6291801999	13800999219
1376	1726362904	6453365425	14304369449
1392	1744426104	7098315632	14800282158
1408	1840821956	6984375831	15535275912
1424	1891095016	7543230289	16458680628
1440	2278618729	7782781130	16577488227
1456	2107067779	7807782599	17070012513
1472	2116751592	8002550066	17778047692
1488	2150051272	8278614063	18391852665
1504	2207198222	8549503750	18715248703
1520	2331391936	8772891110	19253551011
1536	2367629839	9044594896	19820064997
1552	2422898061	9425424334	20503227938
1568	2478956591	9629236464	21316407850
1584	2573845075	9921862360	21727161141
1600	2651929998	10191686953	22434834759
1616	2690184719	11023589276	25021649901
1632	3657056255	13088791374	28888252435
1648	3380991792	12573877267	28409356493
1664	3358966332	13008002429	27790729909
1680	4059893892	11891835404	26684469231
1696	3085549440	12251556586	26813050683
1712	3161254580	12537961738	27846438538
1728	3255777770	12909052781	28348639171
1744	3328223715	13455169039	29177400798
1760	3553604569	13735925418	30858034201
1776	3508849653	13943430151	31101147016
1792	3652740831	14422266377	31682480403
1808	3729570781	14736851951	32750935630
1824	3828468179	15029718579	33312538897
1840	3910231241	15564904916	34173470730
1856	3980291807	16060721987	35111307625
1872	4058490096	16451877186	36997672936
1888	4195932864	17282344455	37117604412
1904	4291526280	17765846005	38588221737
1920	4493253009	17532364750	38993451752
1936	4577105671	18168354737	42747097936
1952	4656764206	18811651553	41360086010
