n	Warshall1	Warshall2	Warshall3
16	138560		26126		220203
32	1024505		203874		837892
48	1837205		1019374		2349457
64	2388646		1609070		2699356
80	1760226		2287408		2757673
96	2125988		3577837		2760472
112	1694912		1200388		2666699
128	2747875		1907184		4039237
144	3619825		2584589		5800397
160	5448631		4479644		9945071
176	14819867	7876466		13261649
192	16717721	32223391	21494546
208	13026516	11714161	25241733
224	14114470	14525019	31626696
240	17530887	17589203	39648253
256	20134138	33414915	72642356
272	24528872	27537073	61567344
288	28779448	35931857	80025230
304	31097648	42374201	94193818
320	35362687	47839162	120588354
336	39861459	57883604	130428454
352	47594699	71384584	154026594
368	55481428	82488521	180326423
384	60220464	97794981	214331501
400	67360276	114151606	239764046
416	78486606	124676576	283253261
432	79485919	141627564	311559179
448	90618314	155800350	344049427
464	96830659	185985927	410437916
480	106374978	206279619	447851012
496	115830190	230599018	500746452
512	130321619	251909284	544018262
528	140051617	266082537	576646137
544	164038378	295293061	634619781
560	174399596	336054461	724266774
576	186307834	373146583	796694992
592	196169396	406136487	868409881
608	211803362	436816588	955066402
624	232147439	491175540	1035944452
640	275133731	524750009	1113588035
656	270187556	570895191	1198300516
672	291477294	610658212	1285541602
688	340305504	653535802	1392029015
704	362600619	713388639	1498009306
720	364073929	759768488	1608048896
736	408652963	826286673	1701515391
752	399770653	880713272	1830586235
768	463726176	952796255	1965270398
784	482333819	1155920250	2117985569
800	494636744	1076104959	2337087364
816	536794475	1152734299	2393360498
832	567296361	1235702882	2541144423
848	623482720	1301653297	2729053396
864	627842932	1494210800	3028699672
880	683785761	1460265905	3009968863
896	705487913	1535460659	3227644002
912	772464233	1672781662	3358415824
928	760109523	1732814114	3537236281
944	789323313	1842171167	3819559743
960	834968841	1908902091	3915215673
976	892354188	2037336586	4131856977
992	931945058	2151052450	4361481874
1008	988670262	2244387382	4907728295
1024	1071085537	2598283440	4801084594
1040	1120233789	2503905809	5060301641
1056	1111965436	2603595845	5280267920
1072	1125243879	2721119080	5585734186
1088	1182420687	3219115791	6006629425
1104	1271353420	3001288096	6095013049
1120	1327424545	3170644477	6458296672
1136	1325403994	3289912077	6660649487
1152	1530390385	3396634156	6933012017
1168	1491455460	3563773109	7275071216
1184	1493930881	3708811490	7544722260
1200	1448766814	3874246201	7943801511
1216	1571870244	4069586568	8267249334
1232	1655458849	4169224353	8768212257
1248	1732829043	4628892629	9067205387
1264	1743411397	4610776711	9348300936
1280	1900935583	5184061949	9683048640
1296	1974476481	4932648122	10152172594
1312	1864511535	5114242580	10373283277
1328	2059192227	5322444779	10784878659
1344	2149016970	5531063591	11583497631
1360	2123366554	5905391435	11719210030
1376	2194780529	5908152373	12019354096
1392	2348229090	6187089743	12515883095
1408	2392649502	6380464144	12975848086
1424	2590605251	6653326795	13811366501
